SimNo,Result,A2_AvgEx7,A2_D.1,A2_D.2,A2_D.12,A2_T.234,A2_T.2,A2_T.3,A2_T.4,A2_T.5,A2_T.6,A2_T.7,A2_U.1,A2_U.2,A2_U.3,A2_U.4,A2_U.5,A2_U.6,A2_U.7,A2_U.8,A2_U.9,A2_U.10,A2_U.11,A2_U.12,A2_U.13,A2_U.14,A2_U.15,A2_U.16,A2_U.17,A2_U.18,A2_U.19,A2_U.20,A2_U.21,A2_Group,A3_Avg,A3_AvgEx7,A3_D.1,A3_D.2,A3_D.3,A3_D.4,A3_D.5,A3_D.6,A3_D.7,A3_Middle,A4_AvgEx8,A4_T.2,A4_T.3,A4_T.4,A4_T.5,A4_T.6,A4_T.7,A4_Middle,A5_,Comp_W_TW,Comp_W_CS.W_simple,Comp_W_CS.W_dynamic,Comp_W_CS.W_group,Comp_W_CS.W_calendar,Comp_W_SA.W_ATT,Comp_W_CH.W_M,Comp_W_CO.W_CO1,Comp_W_CO.W_CO2,Comp_W_CO.W_CO3,Comp_W_NP_Eq,Comp_W_NP_ATT,Comp_W_NP_IV,Comp_CPI,CPI.T_0,CPI.T_2,CPI.T_3,CPI.T_4,CPI.T_5,CPI.T_6,CPI.T_AvgExLast,CPI.T_Middle,CPI.D_0,CPI.D_1,CPI.D_2,CPI.D_3,CPI.D_4,CPI.D_5,CPI.D_6,CPI.D_Avg,CPI.D_Middle
1,Mean Estimate,3.7279187514319313e-4,-2.1675393799503337e-5,3.5285855799146055e-4,1.4856747624653177e-4,2.8776571436520473e-4,0.0018355293411819432,-5.759678445252936e-4,3.476551621523959e-4,8.32943272413005e-4,-2.8375468128835336e-4,6.98171405098791e-4,0.0018355293411819432,-0.001838884181606285,6.869487920691784e-4,2.9110123456552037e-4,-4.554984925709215e-4,0.0012074276867355615,7.707253578398284e-4,-6.631541717237248e-5,-1.3688871933041847e-4,0.002764246964512653,-0.0010156236851532514,2.5594713437234135e-4,-4.503111014157191e-4,-0.0017331588136120873,0.0015243653590276394,-1.7290295779036965e-4,0.0013432221883287556,-3.5389829983456105e-4,0.0011317967547175712,1.07079305541177e-4,0.002133727909848846,2.2038209683135774e-4,2.638795276705218e-4,2.991476477094433e-4,3.085259535408291e-5,2.3848947812837789e-4,-1.9485804920668187e-4,4.5065890381151765e-4,5.504816668762527e-4,7.192990069724509e-4,5.230116673449874e-5,1.6476479428335312e-4,2.1060132211137175e-5,3.556381859498501e-4,-0.0010332216424631141,1.7395454583719004e-5,5.694333532894986e-4,-4.641869896076639e-4,6.813022901350268e-4,-1.487976408087203e-4,-3.0544185434341626e-5,-3.054901527239006e-5,1.3388006354151164e-4,5.184365334154988e-4,-8.698610988548783e-5,2.8815293282340485e-4,2.855929937642969e-4,-3.793559341153549e-4,-3.793559341153549e-4,-3.30772363148488e-4,-1.6904538679613914e-4,-9.788463487622097e-5,9.046284107355461e-5,-1.2737017358736274e-4,-4.750647977628236e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Median Estimate,6.459418019475509e-4,-2.496737654381953e-4,4.3553409481547503e-4,8.909573079124788e-5,2.6635595221820687e-4,0.0018886667556301858,-8.702601494325656e-4,-7.333787472806691e-5,0.001008151844331524,1.2757161175584215e-4,8.380363306852857e-4,0.0018886667556301858,-0.0019833964081669804,5.438003358595204e-4,-1.485059736181053e-4,2.0006149339338357e-4,0.00314239011116368,0.0015939102329162512,-3.435017981625985e-4,4.3822537225134616e-4,0.0028640657585171287,-6.554263049855004e-4,6.95669774053518e-4,-3.326289847966033e-4,-0.0012760012638785533,9.674711751768928e-5,-1.0691159447442924e-4,2.4495262171407795e-5,3.7379784410957877e-4,0.0021427098441899363,-7.951549528996094e-4,0.003930504569600348,-5.5712989979208905e-5,4.124025953134281e-4,4.917582664619892e-5,-3.86660189284998e-4,4.922258173742258e-4,-3.6232294311049627e-4,1.2270777847067624e-4,5.977176623107577e-4,8.489105445988223e-4,6.948119679657263e-4,1.925482684312546e-4,3.214276093857313e-4,4.913750905451999e-4,-8.202507082255871e-4,-2.4751411578466625e-4,7.323878719858051e-4,-4.0268367180307035e-5,6.586356247787739e-4,-1.7020816841641816e-4,2.4078350229747006e-4,2.4084493995287217e-4,1.9229481859327408e-4,0.0010545786809525452,-1.1299911973457739e-4,-4.5381435782638937e-4,1.4716820399461104e-4,-2.3840787515945147e-4,-2.3840787515945147e-4,-3.4976653835256375e-5,5.460757620453738e-5,2.5214423190051083e-4,1.5639738684794624e-4,-2.1216640798440393e-4,5.138128054446981e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,SD Estimate,0.006129733273483948,0.005515319981059037,0.006430562691226635,0.005107132839698868,0.007638758896316537,0.014644425218477718,0.0101862636585756,0.009590987819141772,0.009669573935785906,0.008365143265062045,0.012351224692579614,0.014644425218477718,0.011699719372879424,0.014975578670349285,0.013143173043965497,0.013701687519952953,0.014642235489187624,0.012896550810438234,0.012925300892822428,0.014343616869457,0.01661853526627646,0.012906558531141124,0.013328769028265327,0.013115358361295472,0.013646047663759304,0.015441933176438626,0.015819858789994236,0.017049400567124732,0.015085633014453472,0.015950363181748747,0.01748047021864775,0.01812371255898718,0.006458469131860394,0.0075873549842604806,0.006764805677666944,0.005242865690065173,0.006216241788446476,0.007618074906627237,0.0083757277621645,0.010352555131139824,0.012176230258727468,0.015979452206615737,0.006353514291491933,0.004667900197276109,0.011219057692501758,0.008799151661644477,0.008583275432358985,0.00886066714596586,0.00821491962870626,0.012026676791589879,0.005667731494881451,0.0045676621280452984,0.004567658759661986,0.006594009680129843,0.00780187693102886,0.00727500804225564,0.00667567575097233,0.006785184756041737,0.006780783516559806,0.006780783516559806,0.006647540394261154,0.0060636506405100975,0.0060803373281591465,0.0065542558995377405,0.006023878630443638,0.004353427341577535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Power,0.044,0.036,0.048,0.048,0.036,0.016,0.044,0.04,0.06,0.024,0.056,0.016,0.028,0.04,0.06,0.056,0.032,0.064,0.052,0.044,0.04,0.044,0.02,0.044,0.04,0.036,0.06,0.068,0.056,0.036,0.048,0.06,0.036,0.028,0.024,0.048,0.056,0.04,0.028,0.052,0.032,0.056,0.036,0.056,0.044,0.052,0.064,0.06,0.024,0.056,0.06,0.068,0.068,0.04,0.036,0.068,0.056,0.04,0.04,0.04,0.052,0.044,0.044,0.052,0.052,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Mean Estimate,-0.02984614009927158,-0.02998821513140908,-0.02963334679571064,-0.029826911074840604,-0.029835694708016794,-0.03023931274106191,-0.030798163761304134,-0.029059518070646023,-0.03013114025081693,-0.03023980253725137,-0.029338534192011528,-0.03023931274106191,-0.03183193633489158,-0.029764391520930904,-0.029781240235942624,-0.02870600431724448,-0.028691269509509638,-0.029673154266060143,-0.03055171518687772,-0.030492194268871477,-0.02980749973298081,-0.02997532347025277,-0.030071794111824618,-0.029429544347377375,-0.031468347708493424,-0.030254004510328388,-0.0284283242405543,-0.02907282496386261,-0.030171707642460313,-0.0297908162974663,-0.029102464335703945,-0.029465068703053994,-0.029639454456123978,-0.029860679042486404,-0.029963291271673596,-0.030114535762983934,-0.02965101071083823,-0.02971912783110233,-0.03028177761807496,-0.0297980620719782,-0.030215230348699575,-0.029244995435299764,-0.029883970931983465,-0.02999215629030327,-0.03061373436905989,-0.030765562217679496,-0.028960902739856742,-0.029996470958164722,-0.030170478395475174,-0.029445787742062936,-0.029907645509154434,-0.029950106097887536,-0.029950110028489543,-0.029605969468986387,-0.029575598519773826,-0.029541123320141346,-0.029730153757880667,-0.02943717803776532,-0.02986541977805221,-0.02986541977805221,-0.029932063860256417,-0.02998144255678898,-0.029384144241047606,-0.029234779910652736,-0.02933534277913196,-0.02977848540268533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Median Estimate,-0.029348805546232107,-0.02935505712818512,-0.029509406596813746,-0.02951516823765917,-0.02986427110052861,-0.030658545423922656,-0.031243271248329346,-0.028782745129790975,-0.031131462028727207,-0.030500216324380002,-0.029594381944001463,-0.030658545423922656,-0.03194770519122374,-0.02996126502821922,-0.030031775227304547,-0.02866372829211157,-0.028826921696871066,-0.029309060395832483,-0.030332840358154724,-0.030669348127696908,-0.030107526934718618,-0.02988608154727322,-0.02937311806642985,-0.030552318233063067,-0.03216758667478392,-0.030464797690345588,-0.028875090886116554,-0.0290489703994805,-0.030156602336091985,-0.030731665344375464,-0.029505261936546186,-0.030228945230224284,-0.02902023203184035,-0.02944677253543717,-0.030002739434136033,-0.029720495834961586,-0.029663358642204013,-0.029674680654625404,-0.030047018658612597,-0.029840881154568615,-0.029609150829747535,-0.02845459467110993,-0.03033411188424505,-0.02961393154423078,-0.02972856633469252,-0.030855888151500418,-0.02871573266130331,-0.03057613878462035,-0.030375242085123898,-0.029643153272594223,-0.029952059207195687,-0.029782936699335676,-0.02978298133866471,-0.029655047148885783,-0.029205671554153944,-0.029534838423780095,-0.029167471287634507,-0.029539284193135534,-0.029887563714229674,-0.029887563714229674,-0.029757059133318553,-0.029620074235257976,-0.02980680140673203,-0.02865748571248309,-0.029279385994608696,-0.029754855671290423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,SD Estimate,0.006389137817008958,0.005621299517731135,0.006836407701970354,0.0051377964134072755,0.008187627228460607,0.01572909648586784,0.010916517867437874,0.009278943287988312,0.009402246546572571,0.009199775257444918,0.012284506254281765,0.01572909648586784,0.013694440626758416,0.015584659353477002,0.013463242664026437,0.014177207063424605,0.014317940040272805,0.012778645532432766,0.013335200611349136,0.014635833193764448,0.016398985360349887,0.013424095643110846,0.013817324258578175,0.013227307211738917,0.014963445803492426,0.016947746397712574,0.015779982041363418,0.01592944282307159,0.015462621738349948,0.01652394298877368,0.01707057110749752,0.017611935295522983,0.0066035731673589355,0.007960950745182051,0.007211827944412034,0.00538405367159732,0.006561348433785668,0.007566132643289738,0.009242360653412093,0.010768470825367542,0.012638960465782497,0.015926521278775103,0.0068414530299614204,0.004609735021283883,0.011687369143373665,0.008485496583839446,0.00806181178070926,0.00839779884679475,0.00868200207616776,0.01188835194016253,0.005405920919966094,0.004511015042056556,0.0045110100610950684,0.006925683546288078,0.008274576568190644,0.007484951216924544,0.006976507503727624,0.007209214824319456,0.007027886161392552,0.007027886161392552,0.006905937228574863,0.006310734947935469,0.005847382678430375,0.0063848324073807515,0.005696429842644467,0.0041737387235643835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Power,0.988,1,0.98,1,0.94,0.428,0.764,0.816,0.848,0.828,0.584,0.428,0.588,0.344,0.508,0.404,0.244,0.532,0.488,0.392,0.296,0.468,0.404,0.38,0.404,0.292,0.34,0.324,0.336,0.324,0.3,0.252,0.988,0.924,0.952,1,0.988,0.936,0.84,0.664,0.532,0.332,0.972,1,0.676,0.904,0.932,0.92,0.892,0.656,0.996,1,1,0.96,0.92,0.968,0.984,0.956,0.984,0.984,0.992,1,1,0.996,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Mean Estimate,-0.06002035198435278,-0.06019789030384063,-0.06002536157789299,-0.060119467974300206,-0.06028803542410433,-0.05991437731999363,-0.061004969589075454,-0.0599346301497338,-0.06002894628704919,-0.059539623895592135,-0.0601475457891888,-0.05991437731999363,-0.06129341697997534,-0.060716521526790336,-0.060288897616783646,-0.06003423964989062,-0.059480749740364915,-0.05928441024514135,-0.05961322551007617,-0.061104885611156665,-0.06011326435090658,-0.059303422478518567,-0.05908294009203641,-0.06021373084376339,-0.05966337821801206,-0.05943464667822995,-0.06110281458510935,-0.06067987700424262,-0.059060319574243784,-0.06025625127916437,-0.0608186088792715,-0.05896740482804472,-0.06011401911391363,-0.060066004299754915,-0.05991247785336901,-0.06007384935108193,-0.05998275444802322,-0.06003033270229724,-0.05996234848237609,-0.06042420829112008,-0.059001373398602903,-0.06098715895507352,-0.059991811522488954,-0.060052428362665805,-0.06007461678460392,-0.06093721044924896,-0.059733212280524466,-0.06003137908045305,-0.05952374073298371,-0.06001440969391334,-0.060233934252032426,-0.060041402741539004,-0.060041403009589704,-0.05966694406447877,-0.0594760013024616,-0.05976229369597098,-0.05975936229158767,-0.05954134061056377,-0.05973850822724888,-0.05973850822724888,-0.05972873165158745,-0.05974997035292711,-0.06026408626981474,-0.060051076436162296,-0.06019291507017248,-0.06007115587599645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Median Estimate,-0.06062193115659498,-0.06032759139494347,-0.0605778354812613,-0.060665116381229296,-0.06064101423043739,-0.059262227053911945,-0.0611353813538487,-0.06110306379743512,-0.06027115645266119,-0.05955880819774653,-0.06031283086121546,-0.059262227053911945,-0.06256323017040172,-0.062478708940366084,-0.06110519187061202,-0.06070207468385967,-0.05915858513084185,-0.06009925605849178,-0.06038079485489143,-0.06101757001885491,-0.059053982970859634,-0.058460654164500914,-0.0595743263933015,-0.06101960407056298,-0.05987558963270763,-0.05819202856086418,-0.06189110103574179,-0.061055199481731784,-0.058359025462863215,-0.05976739101092852,-0.059928701625921996,-0.05967042272415393,-0.060646455500074366,-0.060517287793663777,-0.06057958139040583,-0.05995135843856876,-0.06041172640249112,-0.06018801487853816,-0.06056172195476324,-0.06099459878972359,-0.05908761278099746,-0.0611209479319089,-0.060516934303903605,-0.05981109569231166,-0.06002342529773748,-0.061117151604608816,-0.059851487681231774,-0.0599266878054425,-0.059138934343070444,-0.05945907921361676,-0.06012955824439567,-0.060030276736894705,-0.060030248307759215,-0.060316285823258764,-0.06009154926628833,-0.06036004634955892,-0.05959344190811611,-0.05979299421617742,-0.05925505818317986,-0.05925505818317986,-0.05950888714786466,-0.059584797228658615,-0.06078027757421925,-0.06004046329994167,-0.06059235084515478,-0.060253819138429504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,SD Estimate,0.006272300515984921,0.0056729157078031925,0.006819606346360669,0.005244359510087006,0.008475019038287858,0.015642503600308437,0.011509277709009592,0.009214762649890506,0.009195199799903856,0.009186032127170844,0.01195658023738691,0.015642503600308437,0.01319981689497754,0.016726287837348957,0.012867641689779148,0.013038453370877105,0.016012463423882517,0.013045677283341047,0.013644277136802618,0.014936302973245445,0.015030044733338029,0.011991024146031185,0.014062777434617094,0.013383084145184762,0.014914516329075398,0.01682944277515878,0.014431040547074373,0.01561104955590697,0.015621581730294622,0.01701136087362923,0.015971718596324232,0.01809452777153189,0.006379283014786842,0.007842492985326492,0.007020705486115611,0.005384129350649314,0.006720556922530586,0.006969773111872642,0.008795248638667843,0.010675309731911933,0.012303105697314652,0.016728041142224644,0.00646785016488703,0.004623036269071091,0.011902196265492519,0.008978170769578674,0.007856119227207912,0.00828606398102153,0.008677111083152977,0.011728006359011783,0.005188663141289007,0.00441575292334021,0.004415752527139674,0.006813645689197344,0.008178244346181206,0.007228102222480286,0.007018800158085376,0.006982021365926224,0.006979981899340859,0.006979981899340859,0.006971106519912515,0.0062701860977092,0.006462235177578914,0.007046591818902537,0.006241706700742731,0.0045281961794909065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Power,1,1,1,1,1,0.936,0.992,1,1,1,0.98,0.936,0.98,0.768,0.956,0.856,0.652,0.964,0.872,0.78,0.58,0.936,0.84,0.816,0.732,0.604,0.852,0.78,0.66,0.656,0.676,0.64,1,1,1,1,1,1,1,0.992,0.924,0.784,1,1,0.98,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Mean Estimate,-1.3812947183492158e-4,-0.0021886321038724196,-2.8696184939030925e-4,-0.0013242364456476415,3.0623652354687674e-4,0.0010658942282748887,0.0028775536112458583,-0.001661203734730879,-0.001106228524360992,9.449267887157575e-4,-8.396436610297379e-4,0.0010658942282748887,0.002603095125452022,0.003152010461779054,-0.00863295115722432,0.0022083249397545405,0.0014410346144249483,-0.0017831171607781103,-0.005412688254617163,0.0020672011222829774,7.0368900580342e-4,1.3758042979995276e-4,9.97326043085622e-4,4.247243539328671e-4,0.001663971147506753,0.001501026692453537,-0.006522291230176427,-0.0023797901039705294,0.0022510291118371475,0.006278291825498018,-0.0030025412832916714,-0.0016625614014096621,-0.001141518504436311,-3.6621928509486914e-4,1.2574072076505587e-4,-0.0016625665377452059,-0.0017696197334141305,7.46608420655361e-4,0.0032576953100420356,0.0034170150172266353,-0.0032346681062006863,-0.0033179699351988247,7.448924740904459e-4,-9.925057199303298e-4,1.3688393938794102e-4,0.002011262853440051,-0.0030686299722387077,-0.0030780706882156104,-8.509499356595264e-4,-0.001105530803193137,-0.001378478773330128,-0.0012137692203816964,-0.001213787637395507,7.499082251005366e-4,4.7213460383109795e-4,6.137402387794835e-5,8.45673277554976e-4,9.23160760630846e-4,-6.695640503720005e-4,-6.695640503720005e-4,-4.2646903814973534e-4,-8.139403761625112e-4,-5.533794891796196e-4,-0.001230889653530018,-9.283695881228342e-4,-9.816561435022943e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Median Estimate,-1.5084940733750378e-4,-0.003033655565185177,-0.002494369541051987,-0.0018461418698262698,0.0021941791465894325,2.7528737029450717e-4,0.0016147887531601532,4.8262259984149943e-4,-0.0010567500650500916,0.0018046322709994599,1.7610487266256727e-4,2.7528737029450717e-4,0.003709014064649129,0.002885463834774463,-0.0069163690630125105,0.0016581311077919695,0.005060908083675951,-5.503240921515281e-5,-0.007361265120878428,-0.0011110263707574365,0.0017485568581396028,-0.001281951794922632,1.092473144412088e-5,-2.0828343791105136e-4,0.0011046674822615837,0.0012655620828912828,8.327077165992407e-4,-8.965397268077961e-4,-0.0014276098833944989,0.00371050466171391,-0.0031018564381064618,-0.003482663606581943,-0.0035168108229560397,-6.285813150401683e-4,-0.0014843587524800386,-0.0012573281758261814,-0.0030657596453328093,-0.0011601341856273262,6.263057490675757e-4,0.003069107175932729,-0.00426521326829181,-0.006343518747547804,-0.0010905667427009037,-7.697743910162538e-4,-9.844622014271343e-4,-0.0014416039812471157,-0.002217976157990793,-0.006672294247311222,-0.0017527861899406518,6.841067898886038e-4,-0.002111613238116419,-0.0014546954761753004,-0.001454721325630922,-0.002357483132410828,-0.0011151198595190774,8.167764439749058e-4,-0.0012901697374430514,-2.910847746818481e-4,-4.4756029310564116e-4,-4.4756029310564116e-4,-8.284076752199277e-4,2.53758141233891e-4,1.833506907132379e-4,-5.678857667307421e-4,-1.9599888343793318e-4,-6.662528177263321e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
